Date;Service nº;City;Zip code;Service type;Service coordinates;Pick up parcels;Drop off parcels
1/3/22;35785653;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785662;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785662;MADRID;28014;SameDay Drop off;;0;1
1/3/22;35785665;MADRID;28012;SameDay Drop off;;0;1
1/3/22;35785668;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785671;MADRID;28012;SameDay Drop off;;0;1
1/3/22;35785672;MADRID;28013;SameDay Drop off;;0;1
1/3/22;35785672;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785673;MADRID;28014;SameDay Drop off;;0;1
1/3/22;35785673;MADRID;28013;SameDay Drop off;;0;1
1/3/22;35785675;MADRID;28013;SameDay Drop off;;0;1
1/3/22;35785675;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785676;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785676;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785676;MADRID;28012;SameDay Drop off;;0;1
1/3/22;35785676;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785677;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785677;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785678;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785678;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785678;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785678;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785679;MADRID;28004;SameDay Drop off;;0;1
1/3/22;35785679;MADRID;28004;SameDay Drop off;;0;1
1/3/22;35785679;MADRID;28012;SameDay Drop off;;0;1
1/3/22;35785679;MADRID;28012;SameDay Drop off;;0;1
1/3/22;35785679;MADRID;28012;SameDay Drop off;;0;1
1/3/22;35785679;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785679;MADRID;28004;SameDay Drop off;;0;1
1/3/22;35785680;MADRID;28004;SameDay Drop off;;0;1
1/3/22;35785680;MADRID;28004;SameDay Drop off;;0;1
1/3/22;35785680;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785680;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785681;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785681;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785681;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785681;MADRID;28014;SameDay Drop off;;0;1
1/3/22;35785682;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785682;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785683;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785683;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785685;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785685;MADRID;28004;SameDay Drop off;;0;1
1/3/22;35785686;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785686;MADRID;28004;SameDay Drop off;;0;1
1/3/22;35785688;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785688;MADRID;28014;SameDay Drop off;;0;1
1/3/22;35785690;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785692;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785694;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785695;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785696;MADRID;28004;SameDay Drop off;;0;1
1/3/22;35785696;MADRID;28012;SameDay Drop off;;0;1
1/3/22;35785696;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785696;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785696;MADRID;28004;SameDay Drop off;;0;1
1/3/22;35785698;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785698;MADRID;28004;SameDay Drop off;;0;1
1/3/22;35785698;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785698;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785698;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785698;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785699;MADRID;28005;SameDay Drop off;;0;1
1/3/22;35785699;MADRID;28015;SameDay Drop off;;0;1
1/3/22;35785700;MADRID;28013;SameDay Drop off;;0;1
