Date;Service nº;City;Zip code;Service type;Service coordinates;Pick up parcels;Drop off parcels
1/7/22;14439;MADRID;28012;SameDay Pick up;;1;0
1/7/22;14486;MADRID;28015;SameDay Pick up;;1;0
1/7/22;14488;MADRID;28004;SameDay Pick up;;1;0
1/7/22;14490;MADRID;28005;SameDay Pick up;;1;0
1/7/22;14490;MADRID;28005;SameDay Pick up;;1;0
1/7/22;14490;MADRID;28005;SameDay Pick up;;1;0
1/7/22;14490;MADRID;28005;SameDay Pick up;;1;0
1/7/22;14490;MADRID;28012;SameDay Pick up;;1;0
1/7/22;14490;MADRID;28012;SameDay Pick up;;1;0
1/7/22;14490;MADRID;28004;SameDay Pick up;;1;0
1/7/22;14491;MADRID;28005;SameDay Pick up;;1;0
1/7/22;14491;MADRID;28005;SameDay Pick up;;1;0
1/7/22;35701806;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702032;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702033;MADRID;28004;SameDay Drop off;;0;1
1/7/22;35702033;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702034;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702034;MADRID;28012;SameDay Drop off;;0;1
1/7/22;35702034;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702035;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702035;MADRID;28012;SameDay Drop off;;0;1
1/7/22;35702035;MADRID;28004;SameDay Drop off;;0;1
1/7/22;35702036;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702037;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702038;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702039;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702039;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702039;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702039;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702040;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702040;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702040;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702042;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702042;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702043;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702045;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702046;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702048;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702048;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702048;MADRID;28012;SameDay Drop off;;0;1
1/7/22;35702053;MADRID;28012;SameDay Drop off;;0;1
1/7/22;35702061;MADRID;28004;SameDay Drop off;;0;1
1/7/22;35702069;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702081;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702085;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702089;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702092;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702098;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702100;MADRID;28004;SameDay Drop off;;0;1
1/7/22;35702117;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702127;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702129;MADRID;28004;SameDay Drop off;;0;1
1/7/22;35702135;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702144;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702145;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702146;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702148;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702149;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702151;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702151;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702152;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702152;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702152;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702154;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702154;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702156;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702157;MADRID;28004;SameDay Drop off;;0;1
1/7/22;35702159;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702160;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702161;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702161;MADRID;28012;SameDay Drop off;;0;1
1/7/22;35702162;MADRID;28014;SameDay Drop off;;0;1
1/7/22;35702162;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702162;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702163;MADRID;28004;SameDay Drop off;;0;1
1/7/22;35702163;MADRID;28004;SameDay Drop off;;0;1
1/7/22;35702163;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702165;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702165;MADRID;28015;SameDay Drop off;;0;1
1/7/22;35702168;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702168;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702172;MADRID;28012;SameDay Drop off;;0;1
1/7/22;35702172;MADRID;28013;SameDay Drop off;;0;1
1/7/22;35702173;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702173;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702173;MADRID;28012;SameDay Drop off;;0;1
1/7/22;35702175;MADRID;28012;SameDay Drop off;;0;1
1/7/22;35702176;MADRID;28005;SameDay Drop off;;0;1
1/7/22;35702176;MADRID;28004;SameDay Drop off;;0;1
1/7/22;35702183;MADRID;28015;SameDay Drop off;;0;1
