Date;Service nº;City;Zip code;Service type;Service coordinates;Pick up parcels;Drop off parcels
1/4/22;35786946;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35786947;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35786973;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35786974;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35786977;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35786985;MADRID;28014;SameDay Drop off;;0;1
1/4/22;35786986;MADRID;28012;SameDay Drop off;;0;1
1/4/22;35786996;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35786998;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35787003;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787011;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35787014;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787025;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35787026;MADRID;28014;SameDay Drop off;;0;1
1/4/22;35787027;MADRID;28012;SameDay Drop off;;0;1
1/4/22;35787027;MADRID;28012;SameDay Drop off;;0;1
1/4/22;35787028;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787028;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35787028;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787029;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787029;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35787032;MADRID;28012;SameDay Drop off;;0;1
1/4/22;35787034;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35787035;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35787037;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35787041;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35787041;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787041;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787041;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35787041;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35787042;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787042;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787043;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35787044;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35787045;MADRID;28012;SameDay Drop off;;0;1
1/4/22;35787045;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787046;MADRID;28014;SameDay Drop off;;0;1
1/4/22;35787046;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35787047;MADRID;28014;SameDay Drop off;;0;1
1/4/22;35787047;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35787047;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35787047;MADRID;28015;SameDay Drop off;;0;1
1/4/22;35787048;MADRID;28005;SameDay Drop off;;0;1
1/4/22;35787048;MADRID;28004;SameDay Drop off;;0;1
1/4/22;35787049;MADRID;28012;SameDay Drop off;;0;1
1/4/22;35787049;MADRID;28014;SameDay Drop off;;0;1
1/4/22;35787049;MADRID;28015;SameDay Drop off;;0;1
