Date;Service nº;City;Zip code;Service type;Service coordinates;Pick up parcels;Drop off parcels
1/12/22;15625;MADRID;28004;SameDay Pick up;;1;0
1/12/22;15631;MADRID;28015;SameDay Pick up;;1;0
1/12/22;15633;MADRID;28005;SameDay Pick up;;1;0
1/12/22;15645;MADRID;28014;SameDay Pick up;;1;0
1/12/22;15665;MADRID;28015;SameDay Pick up;;1;0
1/12/22;15665;MADRID;28015;SameDay Pick up;;1;0
1/12/22;15667;MADRID;28014;SameDay Pick up;;1;0
1/12/22;15667;MADRID;28014;SameDay Pick up;;1;0
1/12/22;15667;MADRID;28005;SameDay Pick up;;1;0
1/12/22;15667;MADRID;28014;SameDay Pick up;;1;0
1/12/22;15667;MADRID;28005;SameDay Pick up;;1;0
1/12/22;15668;MADRID;28004;SameDay Pick up;;1;0
1/12/22;15668;MADRID;28014;SameDay Pick up;;1;0
1/12/22;15668;MADRID;28005;SameDay Pick up;;1;0
1/12/22;15668;MADRID;28005;SameDay Pick up;;1;0
1/12/22;15668;MADRID;28005;SameDay Pick up;;1;0
1/12/22;15668;MADRID;28004;SameDay Pick up;;1;0
1/12/22;15668;MADRID;28014;SameDay Pick up;;1;0
1/12/22;35711405;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35711660;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35711885;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35711885;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35711890;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35711890;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35711891;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35711891;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35711902;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35711908;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35711928;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35711937;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35711948;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35711952;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712179;MADRID;28012;SameDay Drop off;;0;1
1/12/22;35712502;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712526;MADRID;28012;SameDay Drop off;;0;1
1/12/22;35712544;MADRID;28012;SameDay Drop off;;0;1
1/12/22;35712547;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712559;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712601;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712602;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712602;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712605;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712605;MADRID;28014;SameDay Drop off;;0;1
1/12/22;35712606;MADRID;28014;SameDay Drop off;;0;1
1/12/22;35712606;MADRID;28014;SameDay Drop off;;0;1
1/12/22;35712607;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712607;MADRID;28014;SameDay Drop off;;0;1
1/12/22;35712607;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712609;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712609;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712615;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712616;MADRID;28013;SameDay Drop off;;0;1
1/12/22;35712618;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712620;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712622;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712623;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712624;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712624;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712628;MADRID;28012;SameDay Drop off;;0;1
1/12/22;35712629;MADRID;28014;SameDay Drop off;;0;1
1/12/22;35712631;MADRID;28012;SameDay Drop off;;0;1
1/12/22;35712632;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712636;MADRID;28014;SameDay Drop off;;0;1
1/12/22;35712638;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712638;MADRID;28012;SameDay Drop off;;0;1
1/12/22;35712639;MADRID;28012;SameDay Drop off;;0;1
1/12/22;35712639;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712640;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712640;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712641;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712642;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712644;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712645;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712647;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712649;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712652;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712652;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712652;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712653;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712653;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712658;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712659;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712660;MADRID;28013;SameDay Drop off;;0;1
1/12/22;35712661;MADRID;28014;SameDay Drop off;;0;1
1/12/22;35712668;MADRID;28012;SameDay Drop off;;0;1
1/12/22;35712673;MADRID;28014;SameDay Drop off;;0;1
1/12/22;35712674;MADRID;28013;SameDay Drop off;;0;1
1/12/22;35712675;MADRID;28013;SameDay Drop off;;0;1
1/12/22;35712676;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712680;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712681;MADRID;28015;SameDay Drop off;;0;1
1/12/22;35712682;MADRID;28014;SameDay Drop off;;0;1
1/12/22;35712689;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712694;MADRID;28004;SameDay Drop off;;0;1
1/12/22;35712698;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712698;MADRID;28012;SameDay Drop off;;0;1
1/12/22;35712703;MADRID;28013;SameDay Drop off;;0;1
1/12/22;35712703;MADRID;28012;SameDay Drop off;;0;1
1/12/22;35712704;MADRID;28005;SameDay Drop off;;0;1
1/12/22;35712742;MADRID;28015;SameDay Drop off;;0;1
1/12/22;38234734;MADRID;28012;SameDay Drop off;;0;1
1/12/22;38234909;MADRID;28005;SameDay Drop off;;0;1
1/12/22;38235071;MADRID;28004;SameDay Drop off;;0;1
1/12/22;38235081;MADRID;28005;SameDay Drop off;;0;1
1/12/22;38235090;MADRID;28014;SameDay Drop off;;0;1
1/12/22;38235103;MADRID;28015;SameDay Drop off;;0;1
1/12/22;38235114;MADRID;28012;SameDay Drop off;;0;1
1/12/22;38235114;MADRID;28005;SameDay Drop off;;0;1
1/12/22;38235135;MADRID;28005;SameDay Drop off;;0;1
