Date;Service nº;City;Zip code;Service type;Service coordinates;Pick up parcels;Drop off parcels
1/3/23;16418;MADRID;28014;SameDay Pick up;;1;0
1/3/23;16428;MADRID;28013;SameDay Pick up;;1;0
1/3/23;16430;MADRID;28015;SameDay Pick up;;1;0
1/3/23;16432;MADRID;28004;SameDay Pick up;;1;0
1/3/23;16436;MADRID;28004;SameDay Pick up;;1;0
1/3/23;16439;MADRID;28015;SameDay Pick up;;1;0
1/3/23;16439;MADRID;28013;SameDay Pick up;;1;0
1/3/23;16440;MADRID;28014;SameDay Pick up;;1;0
1/3/23;35718307;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718413;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718413;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718414;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718418;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718418;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718418;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718418;MADRID;28012;SameDay Drop off;;0;1
1/3/23;35718419;MADRID;28012;SameDay Drop off;;0;1
1/3/23;35718420;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718420;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718421;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718421;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718422;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718423;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718423;MADRID;28013;SameDay Drop off;;0;1
1/3/23;35718424;MADRID;28012;SameDay Drop off;;0;1
1/3/23;35718426;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718426;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718426;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718427;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718427;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718428;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718428;MADRID;28013;SameDay Drop off;;0;1
1/3/23;35718428;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718429;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718429;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718429;MADRID;28012;SameDay Drop off;;0;1
1/3/23;35718429;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718429;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718430;MADRID;28013;SameDay Drop off;;0;1
1/3/23;35718430;MADRID;28014;SameDay Drop off;;0;1
1/3/23;35718430;MADRID;28012;SameDay Drop off;;0;1
1/3/23;35718431;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718431;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718432;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718432;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718434;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718434;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718434;MADRID;28014;SameDay Drop off;;0;1
1/3/23;35718436;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718437;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718438;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718438;MADRID;28013;SameDay Drop off;;0;1
1/3/23;35718438;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718439;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718439;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718440;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718440;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718440;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718442;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718442;MADRID;28012;SameDay Drop off;;0;1
1/3/23;35718443;MADRID;28012;SameDay Drop off;;0;1
1/3/23;35718443;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718445;MADRID;28012;SameDay Drop off;;0;1
1/3/23;35718446;MADRID;28013;SameDay Drop off;;0;1
1/3/23;35718446;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718446;MADRID;28013;SameDay Drop off;;0;1
1/3/23;35718447;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718447;MADRID;28013;SameDay Drop off;;0;1
1/3/23;35718447;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718453;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718454;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718454;MADRID;28014;SameDay Drop off;;0;1
1/3/23;35718454;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718458;MADRID;28004;SameDay Drop off;;0;1
1/3/23;35718459;MADRID;28014;SameDay Drop off;;0;1
1/3/23;35718461;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718464;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718465;MADRID;28005;SameDay Drop off;;0;1
1/3/23;35718467;MADRID;28014;SameDay Drop off;;0;1
1/3/23;35718470;MADRID;28013;SameDay Drop off;;0;1
1/3/23;35718471;MADRID;28013;SameDay Drop off;;0;1
1/3/23;35718473;MADRID;28015;SameDay Drop off;;0;1
1/3/23;35718473;MADRID;28005;SameDay Drop off;;0;1
1/3/23;38237680;MADRID;28004;SameDay Drop off;;0;1
1/3/23;38237690;MADRID;28015;SameDay Drop off;;0;1
1/3/23;38237690;MADRID;28015;SameDay Drop off;;0;1
1/3/23;38237692;MADRID;28005;SameDay Drop off;;0;1
1/3/23;38237692;MADRID;28005;SameDay Drop off;;0;1
1/3/23;38237693;MADRID;28004;SameDay Drop off;;0;1
1/3/23;38237695;MADRID;28015;SameDay Drop off;;0;1
1/3/23;38237698;MADRID;28012;SameDay Drop off;;0;1
2/3/23;16426;MADRID;28015;SameDay Pick up;;1;0
2/3/23;16432;MADRID;28014;SameDay Pick up;;1;0
2/3/23;16440;MADRID;28005;SameDay Pick up;;1;0
2/3/23;16445;MADRID;28013;SameDay Pick up;;1;0
2/3/23;16446;MADRID;28005;SameDay Pick up;;1;0
2/3/23;16447;MADRID;28012;SameDay Pick up;;1;0
2/3/23;16447;MADRID;28014;SameDay Pick up;;1;0
2/3/23;35718257;MADRID;28012;SameDay Drop off;;0;1
2/3/23;35718321;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718404;MADRID;28013;SameDay Drop off;;0;1
2/3/23;35718415;MADRID;28012;SameDay Drop off;;0;1
2/3/23;35718417;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718418;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718418;MADRID;28014;SameDay Drop off;;0;1
2/3/23;35718422;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718432;MADRID;28014;SameDay Drop off;;0;1
2/3/23;35718437;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718440;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718441;MADRID;28014;SameDay Drop off;;0;1
2/3/23;35718454;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718455;MADRID;28014;SameDay Drop off;;0;1
2/3/23;35718455;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718456;MADRID;28013;SameDay Drop off;;0;1
2/3/23;35718456;MADRID;28012;SameDay Drop off;;0;1
2/3/23;35718456;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718457;MADRID;28014;SameDay Drop off;;0;1
2/3/23;35718457;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718458;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718459;MADRID;28013;SameDay Drop off;;0;1
2/3/23;35718460;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718460;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718462;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718462;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718463;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718463;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718464;MADRID;28012;SameDay Drop off;;0;1
2/3/23;35718465;MADRID;28013;SameDay Drop off;;0;1
2/3/23;35718465;MADRID;28012;SameDay Drop off;;0;1
2/3/23;35718465;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718465;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718466;MADRID;28012;SameDay Drop off;;0;1
2/3/23;35718468;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718468;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718469;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718471;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718471;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718473;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718473;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718475;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718475;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718476;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718476;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718477;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718478;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718478;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718479;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718479;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718480;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718480;MADRID;28012;SameDay Drop off;;0;1
2/3/23;35718480;MADRID;28013;SameDay Drop off;;0;1
2/3/23;35718481;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718482;MADRID;28013;SameDay Drop off;;0;1
2/3/23;35718482;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718483;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718483;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718484;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718484;MADRID;28014;SameDay Drop off;;0;1
2/3/23;35718485;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718485;MADRID;28014;SameDay Drop off;;0;1
2/3/23;35718486;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718486;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718486;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718487;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718488;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718488;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718488;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718489;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718489;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718489;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718490;MADRID;28014;SameDay Drop off;;0;1
2/3/23;35718490;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718490;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718498;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718498;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718498;MADRID;28012;SameDay Drop off;;0;1
2/3/23;35718499;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718500;MADRID;28014;SameDay Drop off;;0;1
2/3/23;35718500;MADRID;28012;SameDay Drop off;;0;1
2/3/23;35718500;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718502;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718503;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718503;MADRID;28005;SameDay Drop off;;0;1
2/3/23;35718503;MADRID;28014;SameDay Drop off;;0;1
2/3/23;35718506;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718506;MADRID;28015;SameDay Drop off;;0;1
2/3/23;35718507;MADRID;28004;SameDay Drop off;;0;1
2/3/23;35718508;MADRID;28012;SameDay Drop off;;0;1
2/3/23;35718513;MADRID;28005;SameDay Drop off;;0;1
2/3/23;38237696;MADRID;28004;SameDay Drop off;;0;1
