Date;Service nº;City;Zip code;Service type;Service coordinates;Pick up parcels;Drop off parcels
2022-11-01;00015426;MADRID;28005;SameDay Pick up;40.4006874,-3.7116743;1;0
2022-11-01;00015429;MADRID;28004;SameDay Pick up;40.4221665,-3.6973905;1;0
2022-11-01;00015433;MADRID;28004;SameDay Pick up;40.4271272,-3.6995506;1;0
2022-11-01;00015433;MADRID;28004;SameDay Pick up;40.4271272,-3.6995506;1;0
2022-11-01;00015433;MADRID;28012;SameDay Pick up;40.4083435,-3.7018904;1;0
2022-11-01;00015434;MADRID;28014;SameDay Pick up;40.4138883,-3.6958247;1;0
2022-11-01;00015436;MADRID;28005;SameDay Pick up;40.4115600187385,-3.71005003513304;1;0
2022-11-01;00015436;MADRID;28005;SameDay Pick up;40.3998703,-3.7033362;1;0
2022-11-01;00015437;MADRID;28004;SameDay Pick up;40.4270499853543,-3.69933000006682;1;0
2022-11-01;00015437;MADRID;28004;SameDay Pick up;40.4270499853543,-3.69933000006682;1;0
2022-11-01;00015437;MADRID;28005;SameDay Pick up;40.3998703,-3.7033362;1;0
2022-11-01;35709123;MADRID;28012;SameDay Drop off;40.4105482,-3.7014381;0;1
2022-11-01;35709376;MADRID;28015;SameDay Drop off;40.435732,-3.7165071;0;1
2022-11-01;35709398;MADRID;28004;SameDay Drop off;40.4272595,-3.7035408;0;1
2022-11-01;35709443;MADRID;28004;SameDay Drop off;40.4253702,-3.7034672;0;1
2022-11-01;35709449;MADRID;28012;SameDay Drop off;40.4162269,-3.7060121;0;1
2022-11-01;35709456;MADRID;28004;SameDay Drop off;40.4236944,-3.6962719;0;1
2022-11-01;35709457;MADRID;28012;SameDay Drop off;40.4142848,-3.7042206;0;1
2022-11-01;35709473;MADRID;28013;SameDay Drop off;40.4202085,-3.7099653;0;1
2022-11-01;35709558;MADRID;28015;SameDay Drop off;40.4314744,-3.7109083;0;1
2022-11-01;35709559;MADRID;28015;SameDay Drop off;40.438215,-3.7176092;0;1
2022-11-01;35709560;MADRID;28015;SameDay Drop off;40.4253141,-3.7102353;0;1
2022-11-01;35709568;MADRID;28013;SameDay Drop off;40.4198700051847,-3.70219996371409;0;1
2022-11-01;35709570;MADRID;28005;SameDay Drop off;40.3997199,-3.7027515;0;1
2022-11-01;35709572;MADRID;28004;SameDay Drop off;40.4242700014376,-3.69621000424783;0;1
2022-11-01;35709574;MADRID;28015;SameDay Drop off;40.4357302,-3.7083313;0;1
2022-11-01;35709580;MADRID;28015;SameDay Drop off;40.4274672,-3.7103494;0;1
2022-11-01;35709580;MADRID;28014;SameDay Drop off;40.4064199,-3.6824891;0;1
2022-11-01;35709583;MADRID;28005;SameDay Drop off;40.4053991326999,-3.7196478344504;0;1
2022-11-01;35709584;MADRID;28015;SameDay Drop off;40.435257,-3.7162808;0;1
2022-11-01;35709584;MADRID;28012;SameDay Drop off;40.4087755,-3.6953095;0;1
2022-11-01;35709585;MADRID;28005;SameDay Drop off;40.4039374,-3.7081174;0;1
2022-11-01;35709585;MADRID;28012;SameDay Drop off;40.4109037,-3.7070697;0;1
2022-11-01;35709586;MADRID;28012;SameDay Drop off;40.4052262,-3.701348;0;1
2022-11-01;35709594;MADRID;28012;SameDay Drop off;40.4087755,-3.6953095;0;1
2022-11-01;35709594;MADRID;28015;SameDay Drop off;40.4324993,-3.7066156;0;1
2022-11-01;35709601;MADRID;28015;SameDay Drop off;40.4344880397997,-3.71147840065998;0;1
2022-11-01;35709609;MADRID;28005;SameDay Drop off;40.4030255359316,-3.70977380005158;0;1
2022-11-01;35709610;MADRID;28015;SameDay Drop off;40.4345299957481,-3.70678000324722;0;1
2022-11-01;35709618;MADRID;28012;SameDay Drop off;40.4037424,-3.6978633;0;1
2022-11-01;35709619;MADRID;28005;SameDay Drop off;40.4050399877154,-3.72073997916689;0;1
2022-11-01;35709619;MADRID;28004;SameDay Drop off;40.4245619,-3.6952302;0;1
2022-11-01;35709627;MADRID;28015;SameDay Drop off;40.4305415,-3.7067729;0;1
2022-11-01;35709627;MADRID;28015;SameDay Drop off;40.4305415,-3.7067729;0;1
2022-11-01;35709627;MADRID;28005;SameDay Drop off;40.4002299906687,-3.70119002820047;0;1
2022-11-01;35709629;MADRID;28004;SameDay Drop off;40.4222881,-3.7057137;0;1
2022-11-01;35709635;MADRID;28005;SameDay Drop off;40.400269,-3.7026821;0;1
2022-11-01;35709642;MADRID;28005;SameDay Drop off;40.3996062,-3.7105284;0;1
2022-11-01;35709645;MADRID;28015;SameDay Drop off;40.43629,-3.7091288;0;1
2022-11-01;35709647;MADRID;28015;SameDay Drop off;40.433807,-3.7081975;0;1
2022-11-01;35709647;MADRID;28004;SameDay Drop off;40.4220696,-3.6940897;0;1
2022-11-01;35709648;MADRID;28012;SameDay Drop off;40.4139100110223,-3.70664999992897;0;1
2022-11-01;35709648;MADRID;28014;SameDay Drop off;40.4146774,-3.6953017;0;1
2022-11-01;35709648;MADRID;28005;SameDay Drop off;40.4048678,-3.7054473;0;1
2022-11-01;35709649;MADRID;28004;SameDay Drop off;40.4295897,-3.7039705;0;1
2022-11-01;35709650;MADRID;28004;SameDay Drop off;40.4244298,-3.69488;0;1
2022-11-01;35709651;MADRID;28015;SameDay Drop off;40.4381326,-3.7101443;0;1
2022-11-01;35709651;MADRID;28015;SameDay Drop off;40.4343016,-3.7151101;0;1
2022-11-01;35709651;MADRID;28005;SameDay Drop off;40.4053900369468,-3.72142494829438;0;1
2022-11-01;35709651;MADRID;28004;SameDay Drop off;40.4273442,-3.6946158;0;1
2022-11-01;35709652;MADRID;28004;SameDay Drop off;40.4284864,-3.7022742;0;1
2022-11-01;35709652;MADRID;28015;SameDay Drop off;40.4362800114026,-3.70408002459635;0;1
2022-11-01;35709654;MADRID;28005;SameDay Drop off;40.4105978,-3.71333;0;1
2022-11-01;35709654;MADRID;28005;SameDay Drop off;40.4094749,-3.7130007;0;1
2022-11-01;35709655;MADRID;28015;SameDay Drop off;40.4380465,-3.7166376;0;1
2022-11-01;35709655;MADRID;28005;SameDay Drop off;40.4060035,-3.7163845;0;1
2022-11-01;35709655;MADRID;28015;SameDay Drop off;40.4310679,-3.7149129;0;1
2022-11-01;35709655;MADRID;28005;SameDay Drop off;40.4060035,-3.7163845;0;1
2022-11-01;35709655;MADRID;28015;SameDay Drop off;40.4219575,-3.7079323;0;1
2022-11-01;35709655;MADRID;28015;SameDay Drop off;40.4219575,-3.7079323;0;1
2022-11-01;35709655;MADRID;28005;SameDay Drop off;40.4033447,-3.7067804;0;1
2022-11-01;35709656;MADRID;28004;SameDay Drop off;40.4273399992042,-3.6973500268987;0;1
2022-11-01;35709657;MADRID;28004;SameDay Drop off;40.4273399992042,-3.6973500268987;0;1
2022-11-01;35709673;MADRID;28005;SameDay Drop off;40.4050399877154,-3.72073997916689;0;1
2022-11-01;35709674;MADRID;28012;SameDay Drop off;40.4036617,-3.7006421;0;1
2022-11-01;35709674;MADRID;28012;SameDay Drop off;40.4050673,-3.6969085;0;1
2022-11-01;35709674;MADRID;28004;SameDay Drop off;40.4203185,-3.6980245;0;1
2022-11-01;35709674;MADRID;28015;SameDay Drop off;40.4364945,-3.7134044;0;1
2022-11-01;35709676;MADRID;28015;SameDay Drop off;40.4388115,-3.7138858;0;1
2022-11-01;35709678;MADRID;28012;SameDay Drop off;40.4061357,-3.6979752;0;1
2022-11-01;35709678;MADRID;28012;SameDay Drop off;40.4061357,-3.6979752;0;1
2022-11-01;35709680;MADRID;28005;SameDay Drop off;40.4095847,-3.7180003;0;1
2022-11-01;35709682;MADRID;28014;SameDay Drop off;40.4125036,-3.6968553;0;1
2022-11-01;35709682;MADRID;28014;SameDay Drop off;40.4125036,-3.6968553;0;1
2022-11-01;35709682;MADRID;28014;SameDay Drop off;40.4125036,-3.6968553;0;1
2022-11-01;35709682;MADRID;28014;SameDay Drop off;40.4125036,-3.6968553;0;1
2022-11-01;35709684;MADRID;28004;SameDay Drop off;40.4276989,-3.6990749;0;1
2022-11-01;35709684;MADRID;28004;SameDay Drop off;40.4276989,-3.6990749;0;1
2022-11-01;35709685;MADRID;28012;SameDay Drop off;40.4030995,-3.7012228;0;1
2022-11-01;35709688;MADRID;28015;SameDay Drop off;40.4329865,-3.709367;0;1
2022-11-01;35709688;MADRID;28015;SameDay Drop off;40.438541,-3.7142586;0;1
2022-11-01;35709688;MADRID;28015;SameDay Drop off;40.4377494,-3.712296;0;1
2022-11-01;35709688;MADRID;28005;SameDay Drop off;40.4117800017874,-3.71814997108567;0;1
2022-11-01;35709690;MADRID;28015;SameDay Drop off;40.4360211,-3.7112728;0;1
2022-11-01;35709690;MADRID;28005;SameDay Drop off;40.4026242,-3.7090272;0;1
2022-11-01;35709691;MADRID;28012;SameDay Drop off;40.4070806,-3.6998281;0;1
2022-11-01;35709692;MADRID;28005;SameDay Drop off;40.402654,-3.7033362;0;1
2022-11-01;35709692;MADRID;28004;SameDay Drop off;40.4245025,-3.6973425;0;1
2022-11-01;35709695;MADRID;28015;SameDay Drop off;40.4352513,-3.7065275;0;1
2022-11-01;35709696;MADRID;28005;SameDay Drop off;40.4050768,-3.7218946;0;1
2022-11-01;38234033;MADRID;28014;SameDay Drop off;40.4142193,-3.6968549;0;1
2022-11-01;38234037;MADRID;28004;SameDay Drop off;40.4220763,-3.6942474;0;1
2022-11-01;38234037;MADRID;28005;SameDay Drop off;40.4085014,-3.7158973;0;1
2022-11-01;38234087;MADRID;28004;SameDay Drop off;40.4269699800885,-3.69998999112286;0;1
2022-11-01;38234093;MADRID;28005;SameDay Drop off;40.3991867,-3.7020002;0;1
2022-11-01;38234101;MADRID;28012;SameDay Drop off;40.4043799966594,-3.70119002820047;0;1
2022-11-01;38234101;MADRID;28012;SameDay Drop off;40.4043799966594,-3.70119002820047;0;1
2022-11-01;38234101;MADRID;28012;SameDay Drop off;40.4043799966594,-3.70119002820047;0;1
2022-11-01;38234104;MADRID;28014;SameDay Drop off;40.4132453,-3.6898005;0;1
2022-11-01;38234104;MADRID;28004;SameDay Drop off;40.4223642,-3.6930899;0;1
2022-11-01;38234104;MADRID;28014;SameDay Drop off;40.4127825,-3.698084;0;1
2022-11-01;38234104;MADRID;28014;SameDay Drop off;40.4127825,-3.698084;0;1
2022-11-01;38234108;MADRID;28012;SameDay Drop off;40.4103361,-3.7017783;0;1
2022-11-01;38234108;MADRID;28015;SameDay Drop off;40.4380465,-3.7166376;0;1
2022-11-01;38234111;MADRID;28012;SameDay Drop off;40.4098979,-3.6980865;0;1
2022-11-01;38234112;MADRID;28015;SameDay Drop off;40.4264841,-3.7095686;0;1
2022-11-01;38234112;MADRID;28015;SameDay Drop off;40.4264841,-3.7095686;0;1
2022-11-01;38234112;MADRID;28015;SameDay Drop off;40.4264841,-3.7095686;0;1
2022-11-01;38234114;MADRID;28015;SameDay Drop off;40.4245653,-3.7100559;0;1
2022-11-01;38234116;MADRID;28004;SameDay Drop off;40.4229277,-3.69984;0;1
2022-11-01;38234116;MADRID;28012;SameDay Drop off;40.4073100166429,-3.70251001031255;0;1
