Date;Service nº;City;Zip code;Service type;Service coordinates;Pick up parcels;Drop off parcels
2023-02-01;00016225;MADRID;28005;SameDay Pick up;40.4009800033649,-3.70867003859425;1;0
2023-02-01;00016238;MADRID;28005;SameDay Pick up;40.4023877,-3.7090948;1;0
2023-02-01;00016238;MADRID;28005;SameDay Pick up;40.4023877,-3.7090948;1;0
2023-02-01;00016243;MADRID;28004;SameDay Pick up;40.4234538,-3.7037921;1;0
2023-02-01;00016245;MADRID;28014;SameDay Pick up;40.4140902,-3.6902007;1;0
2023-02-01;00016251;MADRID;28004;SameDay Pick up;40.426046,-3.7023377;1;0
2023-02-01;00016252;MADRID;28015;SameDay Pick up;40.4362736,-3.7129341;1;0
2023-02-01;00016252;MADRID;28015;SameDay Pick up;40.4327395,-3.7098408;1;0
2023-02-01;00016253;MADRID;28004;SameDay Pick up;40.4276012,-3.7041033;1;0
2023-02-01;00016253;MADRID;28015;SameDay Pick up;40.4367999827661,-3.70858001695413;1;0
2023-02-01;00016253;MADRID;28015;SameDay Pick up;40.4274599861482,-3.71033996516388;1;0
2023-02-01;00016253;MADRID;28005;SameDay Pick up;40.4006000097844,-3.70254001752591;1;0
2023-02-01;00016253;MADRID;28005;SameDay Pick up;40.4031800014913,-3.70648998939734;1;0
2023-02-01;00016254;MADRID;28015;SameDay Pick up;40.4315517,-3.7122167;1;0
2023-02-01;35716048;MADRID;28004;SameDay Drop off;40.4267461,-3.6934268;0;1
2023-02-01;35716598;MADRID;28005;SameDay Drop off;40.4134037,-3.7085097;0;1
2023-02-01;35716692;MADRID;28015;SameDay Drop off;40.4289514,-3.7083908;0;1
2023-02-01;35716694;MADRID;28012;SameDay Drop off;40.4139297,-3.7066837;0;1
2023-02-01;35716694;MADRID;28012;SameDay Drop off;40.4139297,-3.7066837;0;1
2023-02-01;35716756;MADRID;28015;SameDay Drop off;40.438541,-3.7142586;0;1
2023-02-01;35716756;MADRID;28015;SameDay Drop off;40.438541,-3.7142586;0;1
2023-02-01;35716799;MADRID;28012;SameDay Drop off;40.4142848,-3.7042206;0;1
2023-02-01;35716822;MADRID;28015;SameDay Drop off;40.4353198,-3.7107231;0;1
2023-02-01;35716873;MADRID;28004;SameDay Drop off;40.4286599813163,-3.704380012911;0;1
2023-02-01;35716878;MADRID;28015;SameDay Drop off;40.4291677,-3.7073407;0;1
2023-02-01;35716890;MADRID;28012;SameDay Drop off;40.4140371,-3.702923;0;1
2023-02-01;35716891;MADRID;28012;SameDay Drop off;40.4155878,-3.7048624;0;1
2023-02-01;35716891;MADRID;28012;SameDay Drop off;40.4149239937631,-3.70473764772622;0;1
2023-02-01;35716896;MADRID;28012;SameDay Drop off;40.4077316,-3.7043471;0;1
2023-02-01;35716903;MADRID;28014;SameDay Drop off;40.4146784,-3.6891188;0;1
2023-02-01;35716934;MADRID;28005;SameDay Drop off;40.4137895,-3.7128811;0;1
2023-02-01;35716941;MADRID;28015;SameDay Drop off;40.4325671,-3.7113869;0;1
2023-02-01;35716943;MADRID;28005;SameDay Drop off;40.4020077,-3.7122362;0;1
2023-02-01;35716945;MADRID;28005;SameDay Drop off;40.4023397,-3.7132824;0;1
2023-02-01;35716945;MADRID;28005;SameDay Drop off;40.4023397,-3.7132824;0;1
2023-02-01;35716947;MADRID;28012;SameDay Drop off;40.4138439,-3.7023441;0;1
2023-02-01;35716947;MADRID;28005;SameDay Drop off;40.4064154,-3.7193514;0;1
2023-02-01;35716948;MADRID;28014;SameDay Drop off;40.4183656,-3.6891207;0;1
2023-02-01;35716962;MADRID;28012;SameDay Drop off;40.4147844,-3.7046086;0;1
2023-02-01;35716963;MADRID;28005;SameDay Drop off;40.4147399870747,-3.70767996819117;0;1
2023-02-01;35716981;MADRID;28015;SameDay Drop off;40.4356600020247,-3.71534999632991;0;1
2023-02-01;35716993;MADRID;28012;SameDay Drop off;40.4102506,-3.7044469;0;1
2023-02-01;35716994;MADRID;28014;SameDay Drop off;40.4052621,-3.6825453;0;1
2023-02-01;35716994;MADRID;28015;SameDay Drop off;40.4380427,-3.7155473;0;1
2023-02-01;35716999;MADRID;28005;SameDay Drop off;40.4005914365557,-3.70277862572093;0;1
2023-02-01;35717007;MADRID;28005;SameDay Drop off;40.4043765,-3.7183295;0;1
2023-02-01;35717008;MADRID;28014;SameDay Drop off;40.4168202,-3.6970832;0;1
2023-02-01;35717021;MADRID;28005;SameDay Drop off;40.4137895,-3.7128811;0;1
2023-02-01;35717021;MADRID;28005;SameDay Drop off;40.4138188737584,-3.71868000763861;0;1
2023-02-01;35717024;MADRID;28015;SameDay Drop off;40.435486,-3.7152368;0;1
2023-02-01;35717026;MADRID;28015;SameDay Drop off;40.4343698329329,-3.71478593539778;0;1
2023-02-01;35717026;MADRID;28015;SameDay Drop off;40.4343698329329,-3.71478593539778;0;1
2023-02-01;35717031;MADRID;28004;SameDay Drop off;40.4242342,-3.7054967;0;1
