35704631565400100035-LL1;MADLL1;;;Calle de Cervantes;MADRID;28014;ES;;;;SameDay Drop off;40.4143029,-3.6973102;;;;28004;;;1;
35704632682000100032-LL1;MADLL1;;;Calle del Río;MADRID;28013;ES;;;;SameDay Drop off;40.422582,-3.7112787;;;;28004;;;1;
35704634507000100036-LL1;MADLL1;;;Calle de Juan Duque;MADRID;28005;ES;;;;SameDay Drop off;40.4124503,-3.7196513;;;;28004;;;1;
35704636379300200031-LL1;MADLL1;;;Calle del Río;MADRID;28013;ES;;;;SameDay Drop off;40.4225400185317,-3.71121998117829;;;;28004;;;1;
35704636379300100034-LL1;MADLL1;;;Calle del Río;MADRID;28013;ES;;;;SameDay Drop off;40.4225400185317,-3.71121998117829;;;;28004;;;1;
35704637048900100032-LL1;MADLL1;;;Calle de Preciados;MADRID;28013;ES;;;;SameDay Drop off;40.418959981957,-3.7054000067084;;;;28004;;;1;
35704637419800100031-LL1;MADLL1;;;Calle Gonzalo Jiménez de Quesada;MADRID;28004;ES;;;;SameDay Drop off;40.4204514,-3.7029143;;;;28004;;;1;
35704644490200100036-LL1;MADLL1;;;Calle de la Madera;MADRID;28004;ES;;;;SameDay Drop off;40.4227914,-3.7052391;;;;28004;;;1;
35704656586100100032-LL1;MADLL1;;;Calle de Calderón de la Barca;MADRID;28013;ES;;;;SameDay Drop off;40.4158478,-3.7110273;;;;28004;;;1;
35704656594300100035-LL1;MADLL1;;;Cuesta de Santo Domingo;MADRID;28013;ES;;;;SameDay Drop off;40.4192712,-3.7100105;;;;28004;;;1;
35704664329400100031-LL1;MADLL1;;;Calle de Barquillo;MADRID;28004;ES;;;;SameDay Drop off;40.4223800080001,-3.69568001651004;;;;28004;;;1;
35704667710300100035-LL1;MADLL1;;;Calle del Pez;MADRID;28004;ES;;;;SameDay Drop off;40.424382,-3.7068263;;;;28004;;;1;
35704671305600100033-LL1;MADLL1;;;Calle de la Villa;MADRID;28005;ES;;;;SameDay Drop off;40.4142259,-3.712633;;;;28004;;;1;
35704672152100100037-LL1;MADLL1;;;Calle Gran Vía;MADRID;28013;ES;;;;SameDay Drop off;40.4207089565564,-3.706619266319;;;;28004;;;1;
35704676184300100032-LL1;MADLL1;;;Calle de Concepción Jerónima;MADRID;28012;ES;;;;SameDay Drop off;40.4135817,-3.707181;;;;28004;;;1;
35704677279000100037-LL1;MADLL1;;;Calle del Gasómetro;MADRID;28005;ES;;;;SameDay Drop off;40.4057008,-3.7082216;;;;28004;;;1;
35704684943200100035-LL1;MADLL1;;;Calle de la Colegiata;MADRID;28012;ES;;;;SameDay Drop off;40.412831,-3.7056506;;;;28004;;;1;
35704686007400100030-LL1;MADLL1;;;Calle de Carretas;MADRID;28012;ES;;;;SameDay Drop off;40.4152267,-3.7030984;;;;28004;;;1;
35704693714200100039-LL1;MADLL1;;;Calle de Antonio Grilo;MADRID;28015;ES;;;;SameDay Drop off;40.4233696,-3.7081336;;;;28004;;;1;
35704701394000100033-LL1;MADLL1;;;Calle de la Virgen de los Peligros;MADRID;28013;ES;;;;SameDay Drop off;40.4185292,-3.6993093;;;;28004;;;1;
35704703864200100037-LL1;MADLL1;;;Calle de San Nicolás;MADRID;28013;ES;;;;SameDay Drop off;40.4155121,-3.7121969;;;;28004;;;1;
38232433557000100039-LL1;MADLL1;;;Carrera de San Francisco;MADRID;28005;ES;;;;SameDay Drop off;40.4109554,-3.7130598;;;;28004;;;1;
38232515879000100035-LL1;MADLL1;;;Calle de San Marcos;MADRID;28004;ES;;;;SameDay Drop off;40.4212684171767,-3.69787455834906;;;;28004;;;1;
38232518131900100032-LL1;MADLL1;;;Calle del Marqués Viudo de Pontejos;MADRID;28012;ES;;;;SameDay Drop off;40.4156627,-3.7044435;;;;28004;;;1;
38232518410200200032-LL1;MADLL1;;;Calle de Santa Cruz de Marcenado;MADRID;28015;ES;;;;SameDay Drop off;40.4289514,-3.7083908;;;;28004;;;1;
38232518410200100035-LL1;MADLL1;;;Calle de Santa Cruz de Marcenado;MADRID;28015;ES;;;;SameDay Drop off;40.4289514,-3.7083908;;;;28004;;;1;
38232524048400100039-LL1;MADLL1;;;Calle de Alcalá;MADRID;28014;ES;;;;SameDay Drop off;40.4184039,-3.6960347;;;;28004;;;1;
38232524048400200036-LL1;MADLL1;;;Calle de Alcalá;MADRID;28014;ES;;;;SameDay Drop off;40.4184039,-3.6960347;;;;28004;;;1;
38232524959700100035-LL1;MADLL1;;;Calle de Pozuelo de Zarzón;MADRID;28005;ES;;;;SameDay Drop off;40.3982966,-3.7036231;;;;28004;;;1;
38232533250300100035-LL1;MADLL1;;;Calle de Hortaleza;MADRID;28004;ES;;;;SameDay Drop off;40.4261004,-3.6967338;;;;28004;;;1;
35704571093100100035-LL1;MADLL1;;;Calle de Mira el Sol;MADRID;28005;ES;;;;SameDay Drop off;40.4068514,-3.7075425;;;;28004;;;1;
35704602713500100037-LL1;MADLL1;;;Calle de Amaniel;MADRID;28015;ES;;;;SameDay Drop off;40.4249999813852,-3.70930999690168;;;;28004;;;1;
35704657505300100030-LL1;MADLL1;;;Ronda de Atocha;MADRID;28012;ES;;;;SameDay Drop off;40.4074261571203,-3.69395509115645;;;;28004;;;1;
35704668462800100037-LL1;MADLL1;;;Calle de Juan Duque;MADRID;28005;ES;;;;SameDay Drop off;40.4115772,-3.7192144;;;;28004;;;1;
35704671202300100038-LL1;MADLL1;;;Calle de Serrano Jover;MADRID;28015;ES;;;;SameDay Drop off;40.4300871,-3.7139392;;;;28004;;;1;
35704672402200100032-LL1;MADLL1;;;Calle de Meléndez Valdés;MADRID;28015;ES;;;;SameDay Drop off;40.4330803,-3.7127359;;;;28004;;;1;
35704683736400100032-LL1;MADLL1;;;Calle de Toledo;MADRID;28005;ES;;;;SameDay Drop off;40.410086280033,-3.70938865089987;;;;28004;;;1;
35704684489700100033-LL1;MADLL1;;;Calle de Amaniel;MADRID;28015;ES;;;;SameDay Drop off;40.4269741,-3.7093344;;;;28004;;;1;
35704693011800100033-LL1;MADLL1;;;Glorieta de Ruiz Giménez;MADRID;28015;ES;;;;SameDay Drop off;40.42908,-3.7056157;;;;28004;;;1;
35704693375400100030-LL1;MADLL1;;;Calle de Blasco de Garay;MADRID;28015;ES;;;;SameDay Drop off;40.4386466,-3.7115823;;;;28004;;;1;
35704697121800100035-LL1;MADLL1;;;Calle de Sagasta;MADRID;28004;ES;;;;SameDay Drop off;40.4276908,-3.6966477;;;;28004;;;1;
35704697274300100033-LL1;MADLL1;;;Calle de Toledo;MADRID;28005;ES;;;;SameDay Drop off;40.4053643,-3.7125905;;;;28004;;;1;
35704698101700100037-LL1;MADLL1;;;Calle del Divino Pastor;MADRID;28004;ES;;;;SameDay Drop off;40.4276012,-3.7041033;;;;28004;;;1;
35704698351100100032-LL1;MADLL1;;;Paseo de la Esperanza;MADRID;28005;ES;;;;SameDay Drop off;40.3981241,-3.7027133;;;;28004;;;1;
35704699448500100034-LL1;MADLL1;;;Calle de Carmen Cobeña;MADRID;28005;ES;;;;SameDay Drop off;40.4010400177916,-3.71186999776953;;;;28004;;;1;
35704700779300100036-LL1;MADLL1;;;Plaza de los Mostenses;MADRID;28015;ES;;;;SameDay Drop off;40.4231148,-3.7085148;;;;28004;;;1;
35704700927300100031-LL1;MADLL1;;;Calle de Carmen Cobeña;MADRID;28005;ES;;;;SameDay Drop off;40.4015615,-3.7113841;;;;28004;;;1;
35704704766000100035-LL1;MADLL1;;;Calle de Embajadores;MADRID;28012;ES;;;;SameDay Drop off;40.4084541,-3.7049615;;;;28004;;;1;
35704724609700100032-LL1;MADLL1;;;Calle del Prado;MADRID;28014;ES;;;;SameDay Drop off;40.415039,-3.697944;;;;28004;;;1;
35704728673300100033-LL1;MADLL1;;;Paseo de la Esperanza;MADRID;28005;ES;;;;SameDay Drop off;40.3981241,-3.7027133;;;;28004;;;1;
35704728986600100031-LL1;MADLL1;;;Calle de Toledo;MADRID;28005;ES;;;;SameDay Drop off;40.4103499,-3.7088863;;;;28004;;;1;
35704729473200100039-LL1;MADLL1;;;Calle de Blasco de Garay;MADRID;28015;ES;;;;SameDay Drop off;40.4383992,-3.7110237;;;;28004;;;1;
35704730767700100030-LL1;MADLL1;;;Calle de Galileo;MADRID;28015;ES;;;;SameDay Drop off;40.430918,-3.7103047;;;;28004;;;1;
35704732229000100038-LL1;MADLL1;;;Calle del General Castaños;MADRID;28004;ES;;;;SameDay Drop off;40.4260711,-3.6938195;;;;28004;;;1;
35704733337100100038-LL1;MADLL1;;;Calle de Toledo;MADRID;28005;ES;;;;SameDay Drop off;40.4097537,-3.7095009;;;;28004;;;1;
35704734961800100037-LL1;MADLL1;;;Calle de Arapiles;MADRID;28015;ES;;;;SameDay Drop off;40.4330188,-3.7082214;;;;28004;;;1;
35704735583500100033-LL1;MADLL1;;;Calle de Ercilla;MADRID;28005;ES;;;;SameDay Drop off;40.4013327,-3.7015752;;;;28004;;;1;
35704735806700100031-LL1;MADLL1;;;Calle de Galileo;MADRID;28015;ES;;;;SameDay Drop off;40.4366961,-3.709818;;;;28004;;;1;
35704736463200100030-LL1;MADLL1;;;Calle del Almirante;MADRID;28004;ES;;;;SameDay Drop off;40.4223947,-3.69525;;;;28004;;;1;
35704736787900100030-LL1;MADLL1;;;Calle de las Naves;MADRID;28005;ES;;;;SameDay Drop off;40.398899,-3.7062582;;;;28004;;;1;
35704737080400100036-LL1;MADLL1;;;Paseo de las Yeserías;MADRID;28005;ES;;;;SameDay Drop off;40.3996062,-3.7105284;;;;28004;;;1;
